reference.x_left,reference.y_left,reference.rho_left,reference.x_right,reference.y_right,reference.rho_right,reference.speed
5311.67157854368,-89879.0612066081,0,5310.34045433186,-89884.3976949977,0,11.111
5311.62306501287,-89879.0491054789,0,5310.29194080105,-89884.3855938685,0,11.111
5311.57455148205,-89879.0370043497,0,5310.24342727023,-89884.3734927393,0,11.111
5311.52603795124,-89879.0249032205,0,5310.19491373942,-89884.3613916101,0,11.111
5311.47752442042,-89879.0128020913,0,5310.1464002086,-89884.3492904809,0,11.111
5311.42901088961,-89879.0007009621,0,5310.09788667779,-89884.3371893517,0,11.111
5311.38049735879,-89878.9885998329,0,5310.04937314697,-89884.3250882225,0,11.111
5311.33198382798,-89878.9764987037,0,5310.00085961616,-89884.3129870933,0,11.111
5311.28347029716,-89878.9643975745,0,5309.95234608534,-89884.3008859641,0,11.111
5311.23495676635,-89878.9522964453,0,5309.90383255453,-89884.2887848349,0,11.111
5311.18644323553,-89878.9401953161,0,5309.85531902371,-89884.2766837057,0,11.111
5311.13792970472,-89878.9280941869,0,5309.8068054929,-89884.2645825765,0,11.111
5311.0894161739,-89878.9159930577,0,5309.75829196208,-89884.2524814473,0,11.111
5311.04090264309,-89878.9038919285,0,5309.70977843127,-89884.2403803182,0,11.111
5310.99238911227,-89878.8917907993,0,5309.66126490045,-89884.2282791889,0,11.111
5310.94387558146,-89878.8796896701,0,5309.61275136964,-89884.2161780598,0,11.111
5310.89536205064,-89878.8675885409,0,5309.56423783882,-89884.2040769305,0,11.111
5310.84684851983,-89878.8554874117,0,5309.51572430801,-89884.1919758014,0,11.111
5310.79833498901,-89878.8433862825,0,5309.46721077719,-89884.1798746721,0,11.111
5310.7498214582,-89878.8312851533,0,5309.41869724638,-89884.167773543,0,11.111
5310.70130792738,-89878.8191840241,0,5309.37018371556,-89884.1556724138,0,11.111
5310.65279439657,-89878.8070828949,0,5309.32167018475,-89884.1435712846,0,11.111
5310.60428086575,-89878.7949817657,0,5309.27315665393,-89884.1314701554,0,11.111
5310.55576733494,-89878.7828806365,0,5309.22464312312,-89884.1193690262,0,11.111
5310.50725380412,-89878.7707795073,0,5309.1761295923,-89884.107267897,0,11.111
5310.45874027331,-89878.7586783781,0,5309.12761606149,-89884.0951667678,0,11.111
5310.41022674249,-89878.7465772489,0,5309.07910253067,-89884.0830656386,0,11.111
5310.36171321168,-89878.7344761197,0,5309.03058899986,-89884.0709645094,0,11.111
5310.31319968087,-89878.7223749905,0,5308.98207546904,-89884.0588633802,0,11.111
5310.26468615005,-89878.7102738613,0,5308.93356193823,-89884.046762251,0,11.111
5310.21617261924,-89878.6981727321,0,5308.88504840741,-89884.0346611218,0,11.111
5310.16765908842,-89878.6860716029,0,5308.8365348766,-89884.0225599926,0,11.111
5310.11914555761,-89878.6739704737,0,5308.78802134579,-89884.0104588634,0,11.111
5310.07063202679,-89878.6618693445,0,5308.73950781497,-89883.9983577342,0,11.111
5310.02211849598,-89878.6497682153,0,5308.69099428416,-89883.986256605,0,11.111
5309.97360496516,-89878.6376670862,0,5308.64248075334,-89883.9741554758,0,11.111
5309.92509143435,-89878.6255659569,0,5308.59396722253,-89883.9620543466,0,11.111
5309.87657790353,-89878.6134648278,0,5308.54545369171,-89883.9499532174,0,11.111
5309.82806437272,-89878.6013636985,0,5308.4969401609,-89883.9378520882,0,11.111
5309.7795508419,-89878.5892625694,0,5308.44842663008,-89883.925750959,0,11.111
5309.73103731109,-89878.5771614402,0,5308.39991309927,-89883.9136498298,0,11.111
5309.68252378027,-89878.565060311,0,5308.35139956845,-89883.9015487006,0,11.111
5309.63401024946,-89878.5529591818,0,5308.30288603764,-89883.8894475714,0,11.111
5309.58549671864,-89878.5408580526,0,5308.25437250682,-89883.8773464422,0,11.111
5309.53698318783,-89878.5287569234,0,5308.20585897601,-89883.865245313,0,11.111
5309.48846965701,-89878.5166557942,0,5308.15734544519,-89883.8531441838,0,11.111
