reference.x,reference.y,reference.yaw,reference.speed,drivable_width
9.8,0.8756667136,0,1.5,2
9.9,0.9093898053,0,1.5,2
10,0.9379999768,0,1.5,2
10.1,0.9613363711,0,1.5,2
10.2,0.9792677827,0,1.5,2
10.3,0.9916933945,0,1.5,2
10.4,0.9985433454,0,1.5,2
10.5,0.9997791223,0,1.5,2
10.6,0.9953937773,0,1.5,2
10.7,0.9854119663,0,1.5,2
10.8,0.9698898108,0,1.5,2
10.9,0.948914582,0,1.5,2
11,0.9226042102,0,1.5,2
11.1,0.891106622,0,1.5,2
11.2,0.8545989081,0,1.5,2
11.3,0.8132863283,0,1.5,2
11.4,0.7674011569,0,1.5,2
11.5,0.717201377,0,1.5,2
11.6,0.6629692301,0,1.5,2
11.7,0.605009629,0,1.5,2
11.8,0.5436484437,0,1.5,2
11.9,0.479230669,0,1.5,2
12,0.4121184852,0,1.5,2
12.1,0.3426892214,0,1.5,2
12.2,0.2713332341,0,1.5,2
12.3,0.1984517127,0,1.5,2
12.4,0.1244544235,0,1.5,2
12.5,0.0497574063,0,1.5,2
12.6,-0.02521936514,0,1.5,2
12.7,-0.1000543441,0,1.5,2
12.8,-0.1743267812,0,1.5,2
12.9,-0.2476190897,0,1.5,2
13,-0.3195191936,0,1.5,2
13.1,-0.3896228444,0,1.5,2
13.2,-0.4575358938,0,1.5,2
13.3,-0.5228765099,0,1.5,2
13.4,-0.5852773241,0,1.5,2
13.5,-0.6443874963,0,1.5,2
13.6,-0.6998746876,0,1.5,2
13.7,-0.7514269288,0,1.5,2
13.8,-0.7987543744,0,1.5,2
13.9,-0.8415909324,0,1.5,2
14,-0.87969576,0,1.5,2
14.1,-0.912854618,0,1.5,2
14.2,-0.9408810753,0,1.5,2
14.3,-0.9636175569,0,1.5,2
14.4,-0.9809362301,0,1.5,2
14.5,-0.9927397229,0,1.5,2
14.6,-0.9989616719,0,1.5,2
14.7,-0.999567095,0,1.5,2
14.8,-0.9945525882,0,1.5,2
14.9,-0.983946345,0,1.5,2
15,-0.9678079975,0,1.5,2
15.1,-0.9462282814,0,1.5,2
15.2,-0.9193285257,0,1.5,2
15.3,-0.8872599705,0,1.5,2
15.4,-0.8502029171,0,1.5,2
15.5,-0.8083657136,0,1.5,2
15.6,-0.7619835839,0,1.5,2
15.7,-0.7113173054,0,1.5,2
15.8,-0.6566517422,0,1.5,2
15.9,-0.598294244,0,1.5,2
16,-0.536572918,0,1.5,2
16.1,-0.4718347838,0,1.5,2
16.2,-0.4044438228,0,1.5,2
16.3,-0.3347789316,0,1.5,2
16.4,-0.2632317914,0,1.5,2
16.5,-0.1902046663,0,1.5,2
16.6,-0.1161081413,0,1.5,2
16.7,-0.04135881421,0,1.5,2
16.8,0.03362304722,0,1.5,2
16.9,0.1084158676,0,1.5,2
17,0.1825991346,0,1.5,2
