reference.x,reference.y,reference.yaw,reference.speed,drivable_width
2.97,0.371718757,0,2,2
2.98,0.372960179,0,2,2
2.99,0.374201499,0,2,2
3,0.375442716,0,2,2
3.01,0.37668383,0,2,2
3.02,0.377924841,0,2,2
3.03,0.379165749,0,2,2
3.04,0.380406552,0,2,2
3.05,0.381647251,0,2,2
3.06,0.382887846,0,2,2
3.07,0.384128335,0,2,2
3.08,0.38536872,0,2,2
3.09,0.386608998,0,2,2
3.1,0.387849171,0,2,2
3.11,0.389089237,0,2,2
3.12,0.390329196,0,2,2
3.13,0.391569049,0,2,2
3.14,0.392808794,0,2,2
3.15,0.394048432,0,2,2
3.16,0.395287961,0,2,2
3.17,0.396527382,0,2,2
3.18,0.397766695,0,2,2
3.19,0.399005898,0,2,2
3.2,0.400244992,0,2,2
3.21,0.401483976,0,2,2
3.22,0.402722851,0,2,2
3.23,0.403961614,0,2,2
3.24,0.405200267,0,2,2
3.25,0.406438809,0,2,2
3.26,0.40767724,0,2,2
3.27,0.408915558,0,2,2
3.28,0.410153765,0,2,2
3.29,0.411391859,0,2,2
3.3,0.412629841,0,2,2
3.31,0.413867709,0,2,2
3.32,0.415105464,0,2,2
3.33,0.416343105,0,2,2
3.34,0.417580632,0,2,2
3.35,0.418818044,0,2,2
3.36,0.420055342,0,2,2
3.37,0.421292524,0,2,2
3.38,0.422529591,0,2,2
3.39,0.423766542,0,2,2
3.4,0.425003377,0,2,2
3.41,0.426240095,0,2,2
3.42,0.427476697,0,2,2
3.43,0.428713181,0,2,2
3.44,0.429949548,0,2,2
3.45,0.431185797,0,2,2
3.46,0.432421927,0,2,2
3.47,0.433657939,0,2,2
3.48,0.434893833,0,2,2
3.49,0.436129607,0,2,2
3.5,0.437365261,0,2,2
3.51,0.438600796,0,2,2
3.52,0.43983621,0,2,2
3.53,0.441071504,0,2,2
3.54,0.442306677,0,2,2
3.55,0.443541728,0,2,2
3.56,0.444776658,0,2,2
3.57,0.446011466,0,2,2
3.58,0.447246152,0,2,2
3.59,0.448480715,0,2,2
3.6,0.449715155,0,2,2
3.61,0.450949472,0,2,2
3.62,0.452183665,0,2,2
3.63,0.453417734,0,2,2
3.64,0.454651679,0,2,2
3.65,0.4558855,0,2,2
3.66,0.457119195,0,2,2
3.67,0.458352765,0,2,2
3.68,0.459586209,0,2,2
3.69,0.460819528,0,2,2
3.7,0.46205272,0,2,2
3.71,0.463285785,0,2,2
3.72,0.464518723,0,2,2
3.73,0.465751534,0,2,2
3.74,0.466984218,0,2,2
3.75,0.468216773,0,2,2
3.76,0.4694492,0,2,2
3.77,0.470681498,0,2,2
3.78,0.471913667,0,2,2
3.79,0.473145707,0,2,2
3.8,0.474377617,0,2,2
3.81,0.475609397,0,2,2
3.82,0.476841047,0,2,2
3.83,0.478072565,0,2,2
3.84,0.479303953,0,2,2
3.85,0.48053521,0,2,2
3.86,0.481766334,0,2,2
3.87,0.482997327,0,2,2
3.88,0.484228187,0,2,2
3.89,0.485458915,0,2,2
3.9,0.486689509,0,2,2
3.91,0.48791997,0,2,2
3.92,0.489150297,0,2,2
3.93,0.49038049,0,2,2
3.94,0.491610549,0,2,2
3.95,0.492840472,0,2,2
3.96,0.494070261,0,2,2
3.97,0.495299914,0,2,2
3.98,0.496529432,0,2,2
3.99,0.497758813,0,2,2
4,0.498988058,0,2,2
4.01,0.500217166,0,2,2
4.02,0.501446137,0,2,2
4.03,0.50267497,0,2,2
4.04,0.503903666,0,2,2
4.05,0.505132224,0,2,2
4.06,0.506360643,0,2,2
4.07,0.507588923,0,2,2
4.08,0.508817064,0,2,2
4.09,0.510045065,0,2,2
4.1,0.511272927,0,2,2
4.11,0.512500649,0,2,2
4.12,0.51372823,0,2,2
4.13,0.51495567,0,2,2
4.14,0.516182969,0,2,2
4.15,0.517410126,0,2,2
4.16,0.518637142,0,2,2
4.17,0.519864015,0,2,2
4.18,0.521090746,0,2,2
4.19,0.522317334,0,2,2
4.2,0.523543779,0,2,2
4.21,0.524770081,0,2,2
4.22,0.525996238,0,2,2
4.23,0.527222251,0,2,2
4.24,0.52844812,0,2,2
4.25,0.529673844,0,2,2
4.26,0.530899423,0,2,2
4.27,0.532124856,0,2,2
4.28,0.533350143,0,2,2
4.29,0.534575284,0,2,2
4.3,0.535800278,0,2,2
4.31,0.537025126,0,2,2
4.32,0.538249826,0,2,2
4.33,0.539474379,0,2,2
4.34,0.540698784,0,2,2
4.35,0.54192304,0,2,2
4.36,0.543147149,0,2,2
4.37,0.544371108,0,2,2
4.38,0.545594918,0,2,2
4.39,0.546818578,0,2,2
4.4,0.548042088,0,2,2
4.41,0.549265448,0,2,2
4.42,0.550488658,0,2,2
4.43,0.551711717,0,2,2
4.44,0.552934624,0,2,2
4.45,0.55415738,0,2,2
4.46,0.555379984,0,2,2
4.47,0.556602435,0,2,2
4.48,0.557824734,0,2,2
4.49,0.55904688,0,2,2
4.5,0.560268873,0,2,2
4.51,0.561490712,0,2,2
4.52,0.562712398,0,2,2
4.53,0.563933929,0,2,2
4.54,0.565155305,0,2,2
4.55,0.566376527,0,2,2
4.56,0.567597593,0,2,2
4.57,0.568818503,0,2,2
4.58,0.570039258,0,2,2
4.59,0.571259856,0,2,2
4.6,0.572480298,0,2,2
4.61,0.573700583,0,2,2
4.62,0.574920711,0,2,2
4.63,0.57614068,0,2,2
4.64,0.577360492,0,2,2
4.65,0.578580146,0,2,2
4.66,0.579799641,0,2,2
4.67,0.581018977,0,2,2
4.68,0.582238154,0,2,2
4.69,0.583457171,0,2,2
4.7,0.584676028,0,2,2
4.71,0.585894725,0,2,2
4.72,0.587113261,0,2,2
4.73,0.588331637,0,2,2
4.74,0.589549851,0,2,2
4.75,0.590767903,0,2,2
4.76,0.591985794,0,2,2
4.77,0.593203522,0,2,2
4.78,0.594421087,0,2,2
4.79,0.59563849,0,2,2
4.8,0.596855729,0,2,2
4.81,0.598072805,0,2,2
4.82,0.599289716,0,2,2
4.83,0.600506464,0,2,2
4.84,0.601723047,0,2,2
4.85,0.602939464,0,2,2
4.86,0.604155717,0,2,2
4.87,0.605371804,0,2,2
4.88,0.606587725,0,2,2
4.89,0.607803479,0,2,2
4.9,0.609019067,0,2,2
4.91,0.610234488,0,2,2
4.92,0.611449742,0,2,2
4.93,0.612664828,0,2,2
4.94,0.613879746,0,2,2
4.95,0.615094496,0,2,2
4.96,0.616309077,0,2,2
4.97,0.617523489,0,2,2
4.98,0.618737732,0,2,2
4.99,0.619951805,0,2,2
5,0.621165708,0,2,2
5.01,0.622379441,0,2,2
5.02,0.623593004,0,2,2
5.03,0.624806395,0,2,2
5.04,0.626019615,0,2,2
5.05,0.627232664,0,2,2
5.06,0.62844554,0,2,2
5.07,0.629658244,0,2,2
5.08,0.630870776,0,2,2
5.09,0.632083135,0,2,2
5.1,0.63329532,0,2,2
5.11,0.634507332,0,2,2
5.12,0.635719169,0,2,2
5.13,0.636930833,0,2,2
5.14,0.638142322,0,2,2
5.15,0.639353636,0,2,2
5.16,0.640564774,0,2,2
5.17,0.641775737,0,2,2
5.18,0.642986524,0,2,2
5.19,0.644197135,0,2,2
5.2,0.645407569,0,2,2
5.21,0.646617827,0,2,2
5.22,0.647827907,0,2,2
5.23,0.649037809,0,2,2
5.24,0.650247534,0,2,2
5.25,0.65145708,0,2,2
5.26,0.652666447,0,2,2
5.27,0.653875636,0,2,2
5.28,0.655084645,0,2,2
5.29,0.656293475,0,2,2
5.3,0.657502125,0,2,2
5.31,0.658710594,0,2,2
5.32,0.659918883,0,2,2
5.33,0.661126992,0,2,2
5.34,0.662334918,0,2,2
5.35,0.663542664,0,2,2
5.36,0.664750227,0,2,2
5.37,0.665957608,0,2,2
5.38,0.667164807,0,2,2
5.39,0.668371822,0,2,2
5.4,0.669578654,0,2,2
5.41,0.670785303,0,2,2
5.42,0.671991768,0,2,2
5.43,0.673198049,0,2,2
5.44,0.674404145,0,2,2
5.45,0.675610056,0,2,2
5.46,0.676815782,0,2,2
5.47,0.678021323,0,2,2
5.48,0.679226677,0,2,2
5.49,0.680431845,0,2,2
5.5,0.681636827,0,2,2
5.51,0.682841622,0,2,2
5.52,0.68404623,0,2,2
5.53,0.68525065,0,2,2
5.54,0.686454882,0,2,2
5.55,0.687658927,0,2,2
5.56,0.688862782,0,2,2
5.57,0.690066449,0,2,2
5.58,0.691269926,0,2,2
5.59,0.692473214,0,2,2
5.6,0.693676313,0,2,2
5.61,0.694879221,0,2,2
5.62,0.696081938,0,2,2
5.63,0.697284465,0,2,2
5.64,0.6984868,0,2,2
5.65,0.699688944,0,2,2
5.66,0.700890897,0,2,2
5.67,0.702092657,0,2,2
5.68,0.703294224,0,2,2
5.69,0.704495599,0,2,2
5.7,0.705696781,0,2,2
5.71,0.706897769,0,2,2
5.72,0.708098563,0,2,2
5.73,0.709299163,0,2,2
5.74,0.710499569,0,2,2
5.75,0.71169978,0,2,2
5.76,0.712899796,0,2,2
5.77,0.714099616,0,2,2
5.78,0.715299241,0,2,2
5.79,0.716498669,0,2,2
5.8,0.717697901,0,2,2
5.81,0.718896937,0,2,2
5.82,0.720095775,0,2,2
5.83,0.721294416,0,2,2
5.84,0.722492859,0,2,2
5.85,0.723691104,0,2,2
5.86,0.72488915,0,2,2
5.87,0.726086998,0,2,2
5.88,0.727284647,0,2,2
5.89,0.728482097,0,2,2
5.9,0.729679346,0,2,2
5.91,0.730876396,0,2,2
5.92,0.732073245,0,2,2
5.93,0.733269894,0,2,2
5.94,0.734466341,0,2,2
5.95,0.735662587,0,2,2
5.96,0.736858632,0,2,2
5.97,0.738054474,0,2,2
5.98,0.739250115,0,2,2
5.99,0.740445552,0,2,2
6,0.741640786,0,2,2
6.01,0.742835818,0,2,2
6.02,0.744030645,0,2,2
6.03,0.745225269,0,2,2
6.04,0.746419688,0,2,2
6.05,0.747613902,0,2,2
6.06,0.748807912,0,2,2
6.07,0.750001716,0,2,2
6.08,0.751195315,0,2,2
6.09,0.752388708,0,2,2
6.1,0.753581894,0,2,2
6.11,0.754774874,0,2,2
6.12,0.755967647,0,2,2
6.13,0.757160213,0,2,2
6.14,0.758352571,0,2,2
6.15,0.759544721,0,2,2
6.16,0.760736663,0,2,2
6.17,0.761928397,0,2,2
6.18,0.763119921,0,2,2
6.19,0.764311237,0,2,2
6.2,0.765502342,0,2,2
6.21,0.766693238,0,2,2
6.22,0.767883924,0,2,2
6.23,0.769074399,0,2,2
6.24,0.770264664,0,2,2
6.25,0.771454717,0,2,2
6.26,0.772644558,0,2,2
6.27,0.773834188,0,2,2
6.28,0.775023606,0,2,2
6.29,0.776212811,0,2,2
6.3,0.777401804,0,2,2
6.31,0.778590583,0,2,2
